City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,riaba,3.3855,8.763,301.23,79,49,1.79,GQ,1681844579
72,port macquarie,-31.4299,152.9104,291.15,68,100,0.12,AU,1681844579
73,avarua,-21.2075,-159.7708,299.14,73,100,6.69,CK,1681844579
74,kodiak,57.79,-152.4072,274.88,48,0,6.17,US,1681844580
75,pangnirtung,66.148,-65.7173,257.29,85,20,1.54,CA,1681844580
76,pevek,69.7028,170.2747,264.51,81,100,6.09,RU,1681844580
77,tasiilaq,65.6153,-37.6378,275.43,99,100,6.11,GL,1681844581
78,korla,41.7239,86.1735,285.95,35,100,6.35,CN,1681844581
79,kuala selangor,3.3407,101.2496,300.24,88,100,2.07,MY,1681844582
80,vaini,-21.1926,-175.1773,297.31,94,75,9.77,TO,1681844582
81,alofi,-19.0534,-169.9192,296.43,100,100,2.06,NU,1681844583
82,naze,5.452,7.0567,300.98,76,84,3.54,NG,1681844584
83,kavieng,-2.5735,150.7952,300.45,75,32,1.34,PG,1681844584
84,nichinan,31.6019,131.3789,292.15,93,100,2.48,JP,1681844585
85,sitka,57.0525,-135.3376,279.05,56,20,2.06,US,1681844585
86,tromso,69.6489,18.9551,279.1,75,75,10.8,NO,1681844117
87,padang,-0.9248,100.3633,298.17,94,40,0.51,ID,1681844586
88,georgetown,6.8137,-58.1624,304.31,60,94,3.75,GY,1681844587
89,cape town,-33.929,18.4174,290.26,81,0,5.81,ZA,1681844587
90,chuy,-33.6938,-53.4561,292.55,34,80,8.66,BR,1681844588
91,vieques,18.1216,-65.4573,303.29,72,6,5.13,PR,1681844588
92,kapaa,22.0747,-159.3192,297.33,79,75,9.26,US,1681844589
93,aguimes,27.905,-15.4445,294.5,49,20,9.26,ES,1681844590
94,culpeper,38.4734,-77.9961,297.04,14,0,3.6,US,1681844590
95,thompson,55.7433,-97.8635,270.25,33,40,6.17,CA,1681844591
96,krasnoselkup,65.7042,82.4589,256.34,96,12,4.5,RU,1681844591
97,sur,33.2721,35.1964,297.1,53,8,1.37,LB,1681844592
98,bonavista,48.6542,-53.1103,273.06,81,100,4.19,CA,1681844592
99,nikolayevka,44.9688,33.6071,286.11,87,27,3.9,UA,1681844593
100,damara,4.9561,18.6977,300.3,61,71,2.74,CF,1681844593
101,hambantota,6.1249,81.1243,300.33,100,40,1.03,LK,1681844594
102,puerto ayora,-0.7472,-90.3134,301.59,88,79,1.79,EC,1681844594
103,upernavik,72.7847,-56.147,261.28,91,89,1.89,GL,1681844595
104,coihaique,-45.5712,-72.0685,287.29,62,100,5.14,CL,1681844596
105,barrow,71.2906,-156.7886,250.16,77,0,3.6,US,1681844596
106,guerrero negro,27.971,-114.0364,290.74,57,100,8.62,MX,1681844597
107,chokurdakh,70.6194,147.9024,261.53,95,100,3.87,RU,1681844598
108,gweta,-20.209,25.2553,297.29,27,2,1.74,BW,1681844598
109,east london,-33.0154,27.904,289.6,100,0,0.51,ZA,1681844281
110,maniitsoq,65.4175,-52.8968,270.27,79,58,7.67,GL,1681844599
111,aste,43.0227,-0.4126,287.12,87,58,0.89,FR,1681844600
112,attawapiskat,52.9244,-82.427,269.15,93,100,6.69,CA,1681844600
113,takoradi,4.8874,-1.7519,300.93,80,100,4.36,GH,1681844601
114,alugan,12.2188,125.4822,299.66,84,99,2.51,PH,1681844601
115,basoko,-3.2915,17.4601,298.34,80,20,1.76,CD,1681844602
116,banda aceh,5.5528,95.3193,300.25,82,100,0.77,ID,1681844602
117,hobart,-42.8825,147.3281,286.04,78,40,4.12,AU,1681844554
118,college,45.3266,-75.8386,281.78,66,75,8.23,CA,1681844603
119,lakatoro,-16.1068,167.4185,298.49,80,91,2.87,VU,1681844604
120,sar-e pul,36.215,65.9333,282.82,53,20,0.55,AF,1681844604
121,mecca,21.4208,39.8269,302.49,47,0,1.15,SA,1681844605
122,pacific grove,36.6211,-121.9178,289.11,57,0,3.09,US,1681844605
123,inhambane,-23.866,35.3844,296.14,78,20,2.24,MZ,1681844606
124,jardim,-21.4799,-56.1489,297.14,91,84,3.92,BR,1681844606
125,hay river,60.8156,-115.7866,279.15,65,75,6.69,CA,1681844607
126,port elizabeth,-33.9624,25.6232,292.34,94,20,1.03,ZA,1681844279
127,miri,4.3927,113.988,299.21,94,40,0.51,MY,1681844608
128,roebourne,-20.7724,117.1458,297.34,40,5,4.54,AU,1681844608
129,glendive,47.1053,-104.7125,282.94,40,20,5.66,US,1681844609
130,yellowknife,62.4541,-114.3774,277.25,56,20,7.72,CA,1681844609
131,gorontalo,0.5384,123.0595,296.95,93,100,1.36,ID,1681844610
132,murgab,38.171,73.9669,270.33,68,100,2.67,TJ,1681844610
133,poya,-21.3463,165.1591,296.73,89,69,2.21,NC,1681844611
134,kruisfontein,-34.012,24.7433,288.51,92,0,1.14,ZA,1681844611
135,mahebourg,-20.4111,57.7061,299.45,83,75,4.63,MU,1681844612
136,wasilla,61.5824,-149.4426,273.97,60,0,2.57,US,1681844612
137,karaul,58.2762,48.3068,280.6,59,100,2.16,RU,1681844613
138,pisco,-13.71,-76.203,300.09,61,100,11.32,PE,1681844613
139,la ronge,55.1005,-105.29,275.25,44,100,6.69,CA,1681844614
140,chokwe,-16.4548,35.013,293.5,89,4,1.71,MW,1681844615
141,luderitz,-26.65,15.1573,293.71,47,0,1.3,NA,1681844615
142,gosh,40.7288,44.9987,281.34,96,100,0.99,AM,1681844616
143,cabedelo,-6.9732,-34.8352,302.53,75,92,3.47,BR,1681844616
144,sai buri,6.7039,101.6214,299.37,86,99,2.32,TH,1681844617
145,murray bridge,-35.1309,139.2652,285.93,68,33,5.11,AU,1681844617
146,marcona,-15.2155,-75.083,294.1,57,49,8.58,PE,1681844618
147,derzhavinsk,51.0991,66.3139,276.61,87,100,4.45,KZ,1681844618
148,nalut,31.8638,10.9828,292.99,21,0,2.89,LY,1681844619
149,flinders,-20.8629,144.2526,295.5,73,0,3.95,AU,1681844619
150,port hueneme,34.1478,-119.1952,295.52,68,20,5.66,US,1681844620
151,bonga,-4.3485,35.7368,288.95,97,100,1.23,TZ,1681844620
152,subate,56.0055,25.9063,279.89,62,100,4.44,LV,1681844621
153,vondrozo,-22.8204,47.3211,293.0,95,33,1.04,MG,1681844621
154,fortuna,40.5982,-124.1573,286.44,66,99,3.13,US,1681844320
155,kahului,20.8894,-156.4727,300.32,66,20,0.89,US,1681844622
156,korhogo,9.4575,-5.6342,302.14,47,88,3.44,CI,1681844622
157,humaita,-27.5661,-53.972,296.17,33,0,5.31,BR,1681844622
158,brive-la-gaillarde,45.1585,1.5332,285.61,73,58,0.37,FR,1681844623
159,pendleton,45.6721,-118.7886,283.49,47,20,6.69,US,1681844623
160,pokhara,28.2095,83.9914,297.59,24,0,3.36,NP,1681844477
161,yoichi,43.1954,140.7836,279.09,87,100,1.59,JP,1681844624
162,caraballeda,10.6128,-66.8498,305.27,66,20,2.06,VE,1681844624
163,san vicente,6.2827,-75.3318,296.81,73,40,4.63,CO,1681844625
164,nikolskoye,59.7035,30.7861,282.09,93,94,3.76,RU,1681844625
165,mionica,44.2529,20.0841,283.62,89,100,0.25,RS,1681844626
166,camabatela,-8.1887,15.3742,291.25,95,87,2.32,AO,1681844626
167,maningrida,-12.0524,134.2267,294.31,69,95,2.75,AU,1681844626
168,tsihombe,-25.3185,45.4841,296.33,80,7,6.78,MG,1681844627
169,beyneu,45.3214,55.1862,284.0,32,18,7.34,KZ,1681844627
170,ismailia,30.6044,32.2771,301.31,21,0,4.91,EG,1681844628
171,westpunt,51.8658,4.3458,285.36,71,78,3.13,NL,1681844628
172,takapau,-40.0238,176.3504,287.41,86,74,1.26,NZ,1681844628
173,lavrentiya,65.5838,-171.0058,264.44,96,98,1.71,RU,1681844629
174,cayenne,4.9371,-52.3258,299.16,83,100,1.54,GF,1681844629
175,bihoro,43.8233,144.1083,274.14,79,100,1.03,JP,1681844630
176,okoneshnikovo,54.8373,75.0727,267.62,43,0,1.58,RU,1681844630
177,saint-augustin,48.7859,3.0292,285.82,80,76,5.99,FR,1681844631
178,cabo san lucas,22.8939,-109.9201,301.16,50,40,5.14,MX,1681844631
179,hohhot,40.8338,111.6731,286.35,37,0,2.0,CN,1681844631
180,guangyuan,32.433,105.8563,294.47,90,83,0.99,CN,1681844632
181,sobolevo,55.5204,38.7063,284.12,77,21,2.68,RU,1681844632
182,fairbanks,64.8378,-147.7167,270.15,59,100,7.2,US,1681844632
183,port hedland,-20.3112,118.5801,292.17,52,0,4.12,AU,1681844633
184,saint-joseph,49.5345,-1.5298,281.46,87,75,4.63,FR,1681844633
185,alingsas,57.9998,12.5,282.78,64,100,2.11,SE,1681844633
186,mys shmidta,68.8929,-179.4131,264.54,79,100,1.44,RU,1681844634
187,mandalgovi,45.763,106.2704,280.29,54,100,14.23,MN,1681844634
188,clyde river,46.2239,-63.2577,282.53,92,100,7.2,CA,1681844634
189,beecher,41.3405,-87.6215,287.01,48,0,4.57,US,1681844635
190,kyaukse,21.7252,96.6036,299.69,35,5,0.86,MM,1681844635
191,boa vista,2.8208,-60.672,302.14,65,75,3.09,BR,1681844635
